linha	nome_linha	direction_id	headsign_comum	origem_stop_name	origem_lat	origem_lon	destino_stop_name	destino_lat	destino_lon	viagens_contadas	route_id	origem_stop_id	destino_stop_id
325	Estação Barreiro / Flavio Marques Lisboa	0	Barreiro	Estação Barreiro - Plataforma C1	-19.97378213	-44.0206038	Estação Barreiro - Plataforma C1	-19.97378213	-44.0206038	316	562105	15140101	15140101
326	Estação Barreiro / Vale do Jatoba	0	Barreiro	Estação Barreiro - Plataforma A6	-19.97429891	-44.02171289	Estação Barreiro - Plataforma A6	-19.97429891	-44.02171289	263	561787	15140072	15140072
327	Estação Barreiro / Cardoso A	0	Estação Barreiro	Estação Barreiro - Plataforma A2	-19.97406952	-44.0207768	Estação Barreiro - Plataforma A2	-19.97406952	-44.0207768	300	561975	15140070	15140070
328	Estação Barreiro / Cardoso B	0	Estação Barreiro	Estação Barreiro - Plataforma A3	-19.97414514	-44.02105575	Estação Barreiro - Plataforma A3	-19.97414514	-44.02105575	302	561804	15140071	15140071
328	Estação Barreiro / Cardoso B	1	Estação Barreiro (Partida - Rua Lucas de Carvalho Santos)	Rua Lucas De Carvalho Santos 135	-20.00655313	-44.00467056	Estação Barreiro - Plataforma A3	-19.97414514	-44.02105575	10	561804	14786884	15140071
329	Estação Barreiro / Jatoba	0	Estação Barreiro	Estação Barreiro - Plataforma C4	-19.97395103	-44.02132799	Estação Barreiro - Plataforma C4	-19.97395103	-44.02132799	291	561919	15140105	15140105
330	Estação Barreiro / Independencia	0	Estação Barreiro	Estação Barreiro - Plataforma B5	-19.97411489	-44.02157342	Estação Barreiro - Plataforma B5	-19.97411489	-44.02157342	331	561894	15140093	15140093
330	Estação Barreiro / Independencia	1	Estação Barreiro (Rua Flor de Pitangueira/Mineirao)	Rua Flor De Pitangueira 114	-20.01994757	-44.02921257	Estação Barreiro - Plataforma B5	-19.97411489	-44.02157342	25	561894	14788056	15140093
331	Estação Barreiro / Conjunto Antônio Teixeira Dias	0	Estação Barreiro	Estação Barreiro - Plataforma A1	-19.97401657	-44.02056491	Estação Barreiro - Plataforma A1	-19.97401657	-44.02056491	271	561969	15140067	15140067
332	Estação Barreiro / Milionarios - Bonsucesso	0	Estação Barreiro	Estação Barreiro - Plataforma B1	-19.97388297	-44.02058368	Estação Barreiro - Plataforma B1	-19.97388297	-44.02058368	289	561920	15140083	15140083
335	Estação Barreiro / Lindeia	0	Estação Barreiro	Estação Barreiro - Plataforma C5	-19.97401658	-44.02159085	Estação Barreiro - Plataforma C5	-19.97401658	-44.02159085	267	562033	15140106	15140106
336	Vila Bernadete / Jardim Liberdade	0	Vila Bernadete	Rua Marselhesa, 97	-19.98532005	-43.98819989	Rua Marselhesa, 97	-19.98532005	-43.98819989	204	562153	22283368	22283368
337	Estação Barreiro / Itaipu	0	Estação Barreiro	Estação Barreiro - Plataforma C3	-19.97389809	-44.02112415	Estação Barreiro - Plataforma C3	-19.97389809	-44.02112415	250	561960	15140103	15140103
338	Estação Barreiro/Pilar - Olhos Dagua	0	Estação Barreiro	Estação Barreiro - Plataforma C3	-19.97389809	-44.02112415	Estação Barreiro - Plataforma C3	-19.97389809	-44.02112415	54	561812	15140103	15140103
340	Estação Barreiro / Vila Mangueiras	0	Estação Barreiro	Estação Barreiro - Plataforma B4	-19.97404431	-44.02129447	Estação Barreiro - Plataforma B4	-19.97404431	-44.02129447	268	562155	15140092	15140092
341	Estação Barreiro / Estação Diamante Via Saude	0	Estação Barreiro	Estação Barreiro - Plataforma A4	-19.97419304	-44.02125691	Estação Barreiro - Plataforma A4	-19.97419304	-44.02125691	366	561806	15140080	15140080
342	Estação Barreiro / Solar Via Estação Diamante	0	Estação Barreiro	Estação Barreiro - Plataforma A5	-19.97426362	-44.02153587	Estação Barreiro - Plataforma A5	-19.97426362	-44.02153587	443	561886	15140079	15140079
342	Estação Barreiro / Solar Via Estação Diamante	1	Estação Barreiro (Partidas da Rua Luiz Pongelupe)	Rua Luiz Pongelupe 320	-20.00778206	-44.00929519	Estação Barreiro - Plataforma A5	-19.97426362	-44.02153587	15	561886	14788943	15140079
343	Vila Ecológica / Independência - Via Centro de Saúde	0	Indepêndencia	Rua Flor De Pitangueira 119	-20.02028479	-44.02933102	Rua Flor De Pitangueira 119	-20.02028479	-44.02933102	65	987722	14788050	14788050
401	Metro Cidade Industrial/Santa Maria	0	Cidade Industrial	Rua Claudio Oliveira Neves 3	-19.94537355	-44.01621466	Rua Claudio Oliveira Neves 3	-19.94537355	-44.01621466	92	561817	14789789	14789789
402	Metro Cidade Industrial/Camargos	0	Cidade Industrial (Via Santa Maria)	Rua Claudio Oliveira Neves 3	-19.94537355	-44.01621466	Rua Claudio Oliveira Neves 3	-19.94537355	-44.01621466	188	561839	14789789	14789789
406	Estação Ponto São José / Pindorama  - Via Glória	0	Estação Ponto São Jose	Estação Ponto São José	-19.90118634	-43.99107657	Estação Ponto São José	-19.90118634	-43.99107657	163	561982	14784715	14784715
407	Califórnia/Glória via Centro de Saúde Califórnia	0	Califórnia/Glória via Centro de Saúde Califórnia	Rua Joao Avelino Pereira 226	-19.92588539	-44.01306022	Rua Joao Avelino Pereira 226	-19.92588539	-44.01306022	11	954089	14789420	14789420
503	Estação São Gabriel / Aparecida / Santa Rosa	0	Santa Rosa	Rua Oswaldo Crivellari 100	-19.86438158	-43.94446965	Rua Oswaldo Crivellari 100	-19.86438158	-43.94446965	272	562138	14792911	14792911
504	Estação São Gabriel / Santa Rosa / Aparecida	0	Santa Rosa	Rua Oswaldo Crivellari 100	-19.86438158	-43.94446965	Rua Oswaldo Crivellari 100	-19.86438158	-43.94446965	279	562144	14792911	14792911
506	Estação Ponto São Jose / Avenida Antonio Carlos	0	Estação Ponto São Jose	Estação Ponto São José	-19.90118634	-43.99107657	Estação Ponto São José	-19.90118634	-43.99107657	88	561852	14784715	14784715
510	Estação Pampulha / Xangrila Via Trevo	0	Xangrila	Rua Brusque, 296	-19.83458525	-44.02866245	Rua Brusque, 296	-19.83458525	-44.02866245	274	561865	14784215	14784215
510	Estação Pampulha / Xangrila Via Trevo	1	Xangrila (Partidas Da Estacao Pampulha)	Estação Pampulha - Plataforma E4	-19.84272111	-43.96675174	Estação Pampulha - Plataforma E4	-19.84272111	-43.96675174	31	561865	15276966	15276966
511	Estação Ponto São Jose / Jardim Alvorada	0	Estação Ponto São José	Estação Ponto São José	-19.90118634	-43.99107657	Estação Ponto São José	-19.90118634	-43.99107657	197	561903	14784715	14784715
513	Estação Pampulha / Dandara via Braúnas	0	Dandara	Estação Pampulha - Plataforma E4	-19.84272111	-43.96675174	Estação Pampulha - Plataforma E4	-19.84272111	-43.96675174	77	608000	15276966	15276966
533	Castelo / Shopping Del Rey	0	Shopping Del Rey	Avenida Altamiro Avelino Soares 1215	-19.87900977	-44.00469498	Avenida Del Rey 75	-19.88989748	-43.96925841	23	562152	14791492	14790363
