route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
562090,37926,4033,Camargos/Centro,,3,,012841,FFFFFF
562093,37926,812,Estação São Gabriel / São Gabriel A,,3,,012841,FFFFFF
562096,37926,1404C,Palmeiras / São Salvador,,3,,012841,FFFFFF
562101,37926,739,Estação Vilarinho/Jaqueline 2ª Seção Via Frei Leopoldo,,3,,012841,FFFFFF
562105,37926,325,Estação Barreiro / Flavio Marques Lisboa,,3,,012841,FFFFFF
562106,37926,9402,Santa Inês/Santo André,,3,,012841,FFFFFF
562109,37926,4102,Aparecida/Serra,,3,,012841,FFFFFF
562111,37926,706,Estação São Gabriel / Heliópolis,,3,,012841,FFFFFF
562113,37926,9801,Saudade/Santa Cruz,,3,,012841,FFFFFF
562120,37926,807,Estação São Gabriel / Ribeiro de Abreu A,,3,,012841,FFFFFF
562121,37926,67,Estação Vilarinho/Santo Agostinho Via Carlos Luz,,3,,BED000,000000
562122,37926,SC01R,Contorno/Praca Milton Campos,,3,,012841,FFFFFF
562125,37926,732,Estação São Gabriel / Tupi-Felicidade,,3,,012841,FFFFFF
562127,37926,836,Estação São Gabriel / Ribeiro de Abreu B,,3,,012841,FFFFFF
562132,37926,9415,Nossa Senhora de Fátima/Bonfim,,3,,012841,FFFFFF
562134,37926,51,Estação Pampulha / Centro / Hospitais,,3,,BED000,000000
562136,37926,734,Estação São Gabriel / Aarão Reis Via Minaslândia,,3,,012841,FFFFFF
562137,37926,4107,Alto Caicara/Serra,,3,,012841,FFFFFF
562138,37926,503,Estação São Gabriel / Aparecida / Santa Rosa,,3,,012841,FFFFFF
562140,37926,303,Estação Diamante / Santa Cecilia Via Castanheiras,,3,,012841,FFFFFF
562144,37926,504,Estação São Gabriel / Santa Rosa / Aparecida,,3,,012841,FFFFFF
562146,37926,832,Estação São Gabriel / Capitao Eduardo,,3,,012841,FFFFFF
562152,37926,533,Castelo / Shopping Del Rey,,3,,012841,FFFFFF
562153,37926,336,Vila Bernadete / Jardim Liberdade,,3,,012841,FFFFFF
562155,37926,340,Estação Barreiro / Vila Mangueiras,,3,,012841,FFFFFF
562156,37926,837,Estação São Gabriel / Conjunto Ribeiro de Abreu,,3,,012841,FFFFFF
562157,37926,3250,Estação Diamante/Buritis Via Palmeiras,,3,,012841,FFFFFF
562160,37926,640,Estação Venda Nova / Jardim Leblon Via Rio Branco,,3,,012841,FFFFFF
562163,37926,107,Vila Marçola / Rua do Ouro,,3,,012841,FFFFFF
562165,37926,52,Estação Pampulha / Avenida Antonio Carlos,,3,,BED000,000000
562167,37926,607,Estação Vilarinho / Esplendor,,3,,012841,FFFFFF
562168,37926,5503B,Goiânia B / Centro / Hospitais,,3,,012841,FFFFFF
562171,37926,83D,Estação São Gabriel / Centro - Direta,,3,,BED000,000000
562172,37926,30,Estação Diamante/Centro,,3,,012841,FFFFFF
562175,37926,308,Estação Barreiro / Tirol,,3,,012841,FFFFFF
562178,37926,321,Olhos D Agua / Pilar,,3,,012841,FFFFFF
562181,37926,617,Estação Pampulha / Piratininga Via Rio Branco,,3,,012841,FFFFFF
562184,37926,302,Estação Diamante / Vila Pinho,,3,,012841,FFFFFF
562185,37926,83P,Estação São Gabriel / Centro - Paradora,,3,,BED000,000000
562189,37926,811,Estação São Gabriel / Vista do Sol Via PUC,,3,,012841,FFFFFF
562193,37926,65,Estação Vilarinho/Centro Via Antônio Carlos-Direta,,3,,BED000,000000
562202,37926,208,Estação Barreiro/Betania Via Novo Das Industrias,,3,,012841,FFFFFF
562204,37926,4802A,Pindorama/Boa Vista,,3,,012841,FFFFFF
562210,37926,2101,Grajau/Sion,,3,,012841,FFFFFF
562217,37926,8550,Estação São Gabriel / Zoológico via Estação Pampulha,,3,,BED000,000000
562218,37926,2152,Salgado Filho/Cruzeiro - Via Savassi,,3,,012841,FFFFFF
562220,37926,3301A,Santa Terezinha / Hospitais,,3,,012841,FFFFFF
562225,37926,102,Nossa Senhora de Fatima/Hospital Evangelico,,3,,012841,FFFFFF
562227,37926,710,Estação São Gabriel / Providência,,3,,012841,FFFFFF
562230,37926,703,Estação São Gabriel / Guarani - Via Primeiro de Maio,,3,,012841,FFFFFF
562237,37926,535,Trevo Via Braunas / Shopping Del Rey,,3,,012841,FFFFFF
562239,37926,6350,Estação Vilarinho/Estação Barreiro Via Anel Rodoviario,,3,,BED000,000000
