linha,nome_linha,route_id,tipo_servico,direction_id
716,Estação São Gabriel / Novo Aarão Reis,561828,troncais_move,0
717,Campo Alegre / Estação Pampulha - Via Planalto,561849,troncais_move,0
717,Campo Alegre / Estação Pampulha - Via Planalto,561849,troncais_move,1
718,Planalto / Estação Pampulha - Via Itapõa,561836,troncais_move,0
718,Planalto / Estação Pampulha - Via Itapõa,561836,troncais_move,1
719,Estação Pampulha / Floramar,561827,troncais_move,0
719,Estação Pampulha / Floramar,561827,troncais_move,1
720,Circular Saúde MG20,573119,troncais_move,0
721,Estação São Gabriel / Maria Teresa Via Parque Cerrado,596937,troncais_move,0
732,Estação São Gabriel / Tupi-Felicidade,562125,troncais_move,0
734,Estação São Gabriel / Aarão Reis Via Minaslândia,562136,troncais_move,0
735,Estação Vilarinho/Juliana A,562327,troncais_move,0
736,Estação Vilarinho/Juliana B,562050,troncais_move,0
737,Estação Vilarinho/Jaqueline,562054,troncais_move,0
737,Estação Vilarinho/Jaqueline,562054,troncais_move,1
738,Estação Vilarinho/Conjunto Zilah Sposito,561814,troncais_move,0
738,Estação Vilarinho/Conjunto Zilah Sposito,561814,troncais_move,1
739,Estação Vilarinho/Jaqueline 2ª Seção Via Frei Leopoldo,562101,troncais_move,0
739,Estação Vilarinho/Jaqueline 2ª Seção Via Frei Leopoldo,562101,troncais_move,1
740,Tupi / Mirante,562264,troncais_move,0
806,Estação São Gabriel / Vista do Sol Via Nazaré,562058,troncais_move,0
806,Estação São Gabriel / Vista do Sol Via Nazaré,562058,troncais_move,1
807,Estação São Gabriel / Ribeiro de Abreu A,562120,troncais_move,0
808,Estação São Gabriel / Paulo VI,561802,troncais_move,0
808,Estação São Gabriel / Paulo VI,561802,troncais_move,1
809,Estação São Gabriel / Belmonte,562284,troncais_move,0
810,Estação São Gabriel/Parque Belmonte via Dom Silverio,562302,troncais_move,0
811,Estação São Gabriel / Vista do Sol Via PUC,562189,troncais_move,0
812,Estação São Gabriel / São Gabriel A,562093,troncais_move,0
813,Estação São Gabriel/Paulo VI Via Ribeiro de Abreu,561999,troncais_move,0
814,Estação São Gabriel / Jardim Vitoria,561917,troncais_move,0
815,Estação São Gabriel / Conjunto Paulo VI,561856,troncais_move,0
815,Estação São Gabriel / Conjunto Paulo VI,561856,troncais_move,1
821,Goiânia / Metrô Estação José Cândido,561951,troncais_move,0
822,Santa Inês / Vila Maria - Via Estação José Cândido,562378,troncais_move,0
823,Estação São Gabriel / Bairro Vitoria,561821,troncais_move,0
823,Estação São Gabriel / Bairro Vitoria,561821,troncais_move,1
825,Estação São Gabriel/Vitoria II Via Upa-Nordeste,562074,troncais_move,0
825,Estação São Gabriel/Vitoria II Via Upa-Nordeste,562074,troncais_move,1
826,Montes Claros / Rua São Romulo,562288,troncais_move,0
832,Estação São Gabriel / Capitao Eduardo,562146,troncais_move,0
832,Estação São Gabriel / Capitao Eduardo,562146,troncais_move,1
836,Estação São Gabriel / Ribeiro de Abreu B,562127,troncais_move,0
836,Estação São Gabriel / Ribeiro de Abreu B,562127,troncais_move,1
837,Estação São Gabriel / Conjunto Ribeiro de Abreu,562156,troncais_move,0
838,Estação São Gabriel/Palmares Via Maria Virginia,561893,troncais_move,0
901,Circular Leste / Baleia / Hospitais,561966,estruturais,0
902,Taquaril / Castanheiras,562027,estruturais,0
903,Granja de Freitas / Taquaril via Alto Vera Cruz,562397,estruturais,0
1030,Avenida,562004,estruturais,0
1145,Bairro Das Indústrias,562358,estruturais,0
1170,Santa Lucia / Mangabeiras - Via Savassi,562252,estruturais,0
1502,Vista Alegre / Guarani,561822,estruturais,0
1502,Vista Alegre / Guarani,561822,estruturais,1
1505,Alto dos Pinheiros/Tupi,561993,estruturais,0
1505,Alto dos Pinheiros/Tupi,561993,estruturais,1
1509,California/Tupi,561826,estruturais,0
1509,California/Tupi,561826,estruturais,1
1510,Madre Gertrudes/Providencia,562361,estruturais,0
1510,Madre Gertrudes/Providencia,562361,estruturais,1
2033,Betania / Centro,562290,troncais_convencionais,0
2034,Conjunto Betania / Centro,561850,troncais_convencionais,0
2035,Bairro Das Industrias / Centro,562388,troncais_convencionais,0
2036,Alto Havaí/Centro/Hospitais,701772,troncais_convencionais,0
2101,Grajau/Sion,562210,estruturais,0
2101,Grajau/Sion,562210,estruturais,1
2102,Gameleira / Serra,561851,estruturais,0
2102,Gameleira / Serra,561851,estruturais,1
2103,Prado/Anchieta,561923,estruturais,0
2103,Prado/Anchieta,561923,estruturais,1
2104,Nova Gameleira/Bh Shopping,562370,estruturais,0
2104,Nova Gameleira/Bh Shopping,562370,estruturais,1
2150,Grajau/Sion Via Contorno,561899,estruturais,0
2150,Grajau/Sion Via Contorno,561899,estruturais,1
2151,Vista Alegre/Serra,561841,estruturais,0
2151,Vista Alegre/Serra,561841,estruturais,1
2152,Salgado Filho/Cruzeiro - Via Savassi,562218,estruturais,0
2152,Salgado Filho/Cruzeiro - Via Savassi,562218,estruturais,1
3029,Regina / Centro,561869,troncais_convencionais,0
3030,Pilar-Olhos D Agua / Centro,562053,troncais_convencionais,0
3050,Estação Diamante/Hospitais Via Bh Shopping,561943,troncais_move,0
3051,Flavio Marques Lisboa / Savassi Via N.S.Carmo,561880,estruturais,0
3052,Estação Diamante/Bh Shopping-Via Havai,562079,troncais_move,0
3053,Estação Barreiro/B.Preto,561825,troncais_move,0
3054,Milionarios/Centro,561971,troncais_convencionais,0
3055,Estação Barreiro/Savassi Via Bhshopping,561905,troncais_move,0
3150,Regina-Lindeia/BH Shopping via Anel Rodoviário,637902,estruturais,0
3250,Estação Diamante/Buritis Via Palmeiras,562157,troncais_move,0
3350,Estação Barreiro / Estação Diamante - Via Hospital Metropolitano,561950,troncais_move,0
3502,Ouro Preto/São Gabriel,561970,estruturais,0
3502,Ouro Preto/São Gabriel,561970,estruturais,1
4031,Santa Maria / Hospitais,562023,estruturais,0
4032,Caicara /Savassi/ Praca da Liberdade,561862,estruturais,0
4033,Camargos/Centro,562090,troncais_convencionais,0
4034,Novo Dom Bosco / Savassi Via Padre Eustaquio,561952,estruturais,0
4037,Glória / Centro - Via Padre Eustáquio,561864,troncais_convencionais,0
4102,Aparecida/Serra,562109,estruturais,0
4102,Aparecida/Serra,562109,estruturais,1
4103,Aparecida/Parque das Mangabeiras,561964,estruturais,0
4103,Aparecida/Parque das Mangabeiras,561964,estruturais,1
4106,São Cristovao / Santo Antônio - Via Savassi,562331,estruturais,0
4107,Alto Caicara/Serra,562137,estruturais,0
4107,Alto Caicara/Serra,562137,estruturais,1
4108,Pedro II/Mangabeiras,561798,estruturais,0
4110,Dom Cabral/Belvedere,561915,estruturais,0
4110,Dom Cabral/Belvedere,561915,estruturais,1
4111,Dom Cabral/Anchieta,561855,estruturais,0
4111,Dom Cabral/Anchieta,561855,estruturais,1
4113,Bom Jesus/Belvedere,561953,estruturais,0
4113,Bom Jesus/Belvedere,561953,estruturais,1
4150,Shopping Del Rey/Bh Shopping,562303,estruturais,0
4150,Shopping Del Rey/Bh Shopping,562303,estruturais,1
4201,Alto Caicara/Nova Cintra,562068,estruturais,0
4201,Alto Caicara/Nova Cintra,562068,estruturais,1
4205,Ermelinda / Salgado Filho - Via Prado,561792,estruturais,0
4205,Ermelinda / Salgado Filho - Via Prado,561792,estruturais,1
4405,Coqueiros / Centro / Hospitais,561928,troncais_convencionais,0
4501,California II / São Paulo,561921,estruturais,0
4501,California II / São Paulo,561921,estruturais,1
5033,Santa Terezinha/Praca da Liberdade via Tancredo Neves,562389,estruturais,0
5034,Urca/Centro Via Confisco,600190,troncais_convencionais,0
5035,Zoológico/Hospitais Via Serrano,603188,estruturais,0
5036,Celso Machado/Centro,603888,troncais_convencionais,0
5102,UFMG/Santo Antonio,562055,estruturais,0
5104,Suzana/Cruzeiro-Via Universitario,561892,estruturais,0
5104,Suzana/Cruzeiro-Via Universitario,561892,estruturais,1
5106,Bandeirantes / Bh Shopping,561988,estruturais,0
5106,Bandeirantes / Bh Shopping,561988,estruturais,1
5107,Estação Pampulha/Savassi,561834,troncais_move,0
5201,Dona Clara/Buritis,561890,estruturais,0
5201,Dona Clara/Buritis,561890,estruturais,1
5203,Castelo/Estrela do Oriente-Via Manacas,562003,estruturais,0
5203,Castelo/Estrela do Oriente-Via Manacas,562003,estruturais,1
5250,Estação Pampulha / Betania,561807,troncais_move,0
5250,Estação Pampulha / Betania,561807,troncais_move,1
5401,São Luiz/Dom Cabral,561974,estruturais,0
5401,São Luiz/Dom Cabral,561974,estruturais,1
5550,Estação Pampulha / Estação Ponto São Jose,562360,troncais_move,0
5550,Estação Pampulha / Estação Ponto São Jose,562360,troncais_move,1
6030,Cidade Administrativa/Savassi Via Hospitais,561935,estruturais,0
6030,Cidade Administrativa/Savassi Via Hospitais,561935,estruturais,1
6031,Cidade Administrativa/Centro,562271,troncais_convencionais,0
6031,Cidade Administrativa/Centro,562271,troncais_convencionais,1
6350,Estação Vilarinho/Estação Barreiro Via Anel Rodoviario,562239,troncais_move,0
6350,Estação Vilarinho/Estação Barreiro Via Anel Rodoviario,562239,troncais_move,1
8101,Santa Cruz/Alto Santa Lúcia,561809,estruturais,0
8101,Santa Cruz/Alto Santa Lúcia,561809,estruturais,1
8102,União/Carmo Sion,561907,estruturais,0
8102,União/Carmo Sion,561907,estruturais,1
8103,Nova Floresta/Santa Lúcia - Via Lourdes,562043,estruturais,0
8103,Nova Floresta/Santa Lúcia - Via Lourdes,562043,estruturais,1
8106,Santa Cruz/BH Shopping Via Belvedere,561879,estruturais,0
8106,Santa Cruz/BH Shopping Via Belvedere,561879,estruturais,1
8107,Concórdia/São Pedro - Via Colégio Batista,561835,estruturais,0
8107,Concórdia/São Pedro - Via Colégio Batista,561835,estruturais,1
8108,Cidade Nova/Savassi - Via Rua da Bahia,561998,estruturais,0
8150,União / Serra - Via Floresta / Hospitais,562294,estruturais,0
8150,União / Serra - Via Floresta / Hospitais,562294,estruturais,1
8151,Estação São Gabriel/BH Shopping Via Anel Rodoviario,562008,troncais_move,0
8151,Estação São Gabriel/BH Shopping Via Anel Rodoviario,562008,troncais_move,1
8203,Renascenca/Buritis - Via Nova Suiça,561874,estruturais,0
8203,Renascenca/Buritis - Via Nova Suiça,561874,estruturais,1
8205,Maria Goretti/Nova Granada,561795,estruturais,0
8205,Maria Goretti/Nova Granada,561795,estruturais,1
8207,Maria Goretti/Estrela Dalva,562310,estruturais,0
8207,Maria Goretti/Estrela Dalva,562310,estruturais,1
