stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
14784191,,Avenida Celso Porfirio Machado 1530,,-19.96260619,-43.93429136,,,0,,,0,
14784192,,Rua Jornalista Mario Eugenio 355,,-19.88058905,-44.00977937,,,0,,,0,
14784193,,Rua Serra Dos Orgaos 335,,-19.82407376,-43.89720396,,,0,,,0,
14784194,,Rua Mariano Guimaraes 35,,-19.84129905,-43.90010825,,,0,,,0,
14784195,,Rua Dos Menezes 218,,-19.80212024,-44.0004758,,,0,,,0,
14784196,,Avenida Amazonas 1695,,-19.92505735,-43.94905215,,,0,,,0,
14784197,,Rua Leopoldina 157,,-19.941254,-43.94050834,,,0,,,0,
14784198,,Rua Marrocos 1349,,-19.82089619,-43.9934862,,,0,,,0,
14784199,,Rua Doutor Pedro Ruela 175,,-19.80667103,-43.97774935,,,0,,,0,
14784200,,Rua Carmelita India Do Brasil 485,,-19.98250578,-44.02463318,,,0,,,0,
14784201,,Rua Dorival Machado 759,,-19.82696723,-43.97457527,,,0,,,0,
14784202,,Rua Flor Da Esperanca 117,,-19.89514516,-43.98876288,,,0,,,0,
14784203,,Rua Luiz Claudio Alves 100,,-19.81611166,-43.9372987,,,0,,,0,
14784204,,Avenida Olavo Brasil Junior 48,,-19.83332423,-44.01668018,,,0,,,0,
14784205,,Avenida Presidente Antonio Carlos 2654,,-19.88921698,-43.94996075,,,0,14787857,,0,1B
14784206,,Avenida Presidente Tancredo Neves 88,,-19.90417594,-43.98794225,,,0,,,0,
14784207,,Rua Padre Feijo 355,,-19.91550721,-43.89950988,,,0,,,0,
14784208,,Avenida Presidente Antonio Carlos 2653,,-19.88933393,-43.94994423,,,0,14787857,,0,1A
14784209,,Rua Padre Feijo 354,,-19.91557897,-43.89951225,,,0,,,0,
14784210,,Avenida Presidente Antonio Carlos 2652,,-19.88977425,-43.94978233,,,0,14787857,,0,2B
